id,poblacion,densidad,juzg.unico,v008,v016,v028,v029,v066,v112,v113,v114,v115,v118,v119,v120,v121,v122,v123,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v191,v192,v193,v194,v195,v197,v198,v199,v202,v203,v204,v214,years.judge
II095,97920,261.84,0,1,2,1,1,1,5,4,5,5,7,1,1,2,2,2,1,5,1,4,5,1,4,6,1,1,5,5,1,5,4,1,7,7,7,7,2,2,2,2,4,1,2,0,12,10,13,3,8
II096,97920,261.84,0,1,2,1,1,2,5,4,5,5,3,2,7,3,3,10,1,1,1,1,6,1,5,6,1,1,5,6,1,1,1,1,1,1,1,1,1,1,4,2,5,1,1,1,2,11,12,2,7
II097,69319,156.05,0,1,2,2,6,3,4,3,5,5,3,1,1,3,3,3,1,1,1,1,5,1,4,6,5,1,5,5,1,5,1,3,1,1,1,1,2,2,2,2,4,1,2,0,10,11,13,4,4
II098,32960,27.22,1,1,2,2,6,2,3,3,4,5,3,1,3,3,3,11,1,1,1,3,5,1,5,6,1,1,4,5,1,4,4,1,1,5,1,1,1,1,2,1,5,1,1,0,10,11,1,5,4
II099,87272,45.49,0,2,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,12
II100,74461,40.71,0,1,2,2,6,1,4,3,4,5,4,1,3,2,2,2,1,1,1,1,5,1,2,4,1,1,1,5,1,4,2,3,1,1,1,1,1,1,2,2,5,1,2,0,10,10,13,5,3
II101,89988,59,0,1,2,2,6,1,3,3,4,4,3,1,2,12,10,1,1,1,1,1,4,1,3,6,1,1,4,5,1,4,5,5,1,1,1,1,1,1,2,1,4,2,2,0,10,10,12,3,3
II102,60740,105.08,0,1,2,2,6,1,4,4,5,4,4,2,7,3,1,2,1,1,1,5,6,1,5,6,1,1,5,1,1,5,1,1,1,1,1,1,1,1,2,1,3,2,1,0,3,10,3,5,3
II103,86050,92.77,0,1,2,2,6,1,4,3,4,4,3,1,3,10,2,2,1,1,1,6,6,3,1,5,1,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,5,2,1,0,10,11,5,4,4
II104,86050,92.77,0,1,2,2,6,2,5,3,5,4,7,1,2,7,10,10,1,1,1,6,6,3,6,4,1,1,5,6,1,4,1,2,1,1,1,1,1,2,2,2,4,2,2,0,9,11,3,4,5
II105,153401,128.56,0,1,2,2,6,1,4,3,5,5,1,1,1,3,3,3,1,1,1,5,5,5,5,5,1,1,1,5,1,1,1,1,1,1,1,1,1,1,3,2,5,1,2,0,10,6,3,2,7
II106,153401,128.56,0,1,2,1,7,1,4,3,5,5,2,1,4,3,7,10,1,4,1,1,5,4,4,5,1,1,5,5,1,3,1,1,1,1,1,1,1,1,3,2,5,2,1,0,1,3,11,5,4
II107,110199,129.56,0,1,1,2,6,1,4,4,3,3,5,2,7,10,10,1,1,1,1,5,5,5,5,5,1,1,1,5,1,5,1,5,1,1,1,1,1,2,2,2,3,2,1,0,9,6,3,4,7
II108,110199,129.56,0,1,1,2,6,1,3,1,5,5,3,1,4,10,10,1,6,2,1,1,4,4,1,4,5,1,5,5,1,3,1,2,1,1,1,1,1,1,4,2,5,2,1,0,3,2,3,3,4
II109,103447,189.52,0,2,1,2,6,1,4,4,4,4,NA,NA,NA,3,2,2,1,1,1,4,1,5,5,6,1,1,5,6,1,5,1,1,1,1,1,1,1,1,2,1,4,2,2,0,10,11,13,3,NA
II110,86033,821.79,0,2,1,2,6,1,4,4,5,4,4,1,5,2,1,1,6,5,1,6,6,6,5,5,1,1,4,3,1,5,1,4,1,1,1,1,1,1,3,2,5,2,2,0,3,12,13,5,7
II111,10192,16.1,1,1,2,1,1,3,5,4,4,4,4,2,7,3,1,1,1,5,5,1,6,6,6,5,1,1,1,5,1,1,5,6,1,1,1,1,1,1,2,2,3,1,2,0,3,3,13,5,6
II112,65940,33.85,0,1,2,2,6,1,5,4,5,5,4,2,7,1,5,2,1,1,1,1,1,6,1,5,1,1,4,5,1,5,1,5,1,1,1,1,1,1,4,2,5,2,1,0,5,5,3,5,2
II113,21934,13.28,1,1,1,2,6,2,4,4,5,4,1,2,7,3,10,3,1,1,1,5,6,6,6,6,1,1,5,6,1,5,6,5,1,1,1,5,1,1,2,2,3,1,1,1,10,3,3,5,7
II114,72261,98.03,0,1,2,2,6,1,3,3,5,4,3,1,1,7,2,1,1,4,1,5,1,5,1,6,3,1,5,4,1,6,1,1,1,1,1,1,1,1,3,2,5,2,4,0,10,7,7,3,5
II115,66952,60.73,0,2,1,1,2,2,3,4,5,5,4,1,4,7,7,10,5,5,1,5,5,5,5,6,1,1,4,2,1,5,5,6,1,6,1,1,1,1,3,2,4,1,1,0,10,9,12,1,5
II116,22645,20.91,1,1,1,2,6,1,4,4,5,5,5,1,4,10,7,6,1,1,1,1,6,4,6,6,2,1,4,5,1,6,4,6,1,1,1,1,1,1,2,2,5,2,2,0,6,6,13,1,5
II117,86033,821.79,0,2,2,2,6,1,5,3,5,5,3,1,1,7,10,12,1,1,1,1,1,5,4,5,1,1,1,4,1,5,1,1,1,1,1,6,1,1,2,2,5,2,2,0,6,6,13,4,6
II118,14941,59.62,1,1,2,2,6,1,5,4,5,4,2,1,2,3,2,1,1,1,1,6,6,6,1,6,1,1,4,5,1,6,5,1,1,1,1,1,1,1,2,2,4,2,1,0,3,3,2,5,7
