cpj	id	original	pj	jutjat	prov	num_juzg	poblacion	superficie	densidad	municipios	aut	pro	perc.1yr	perc.5yr	perc.10yr	juzg.unico	v006	v007	v008	v016	v025	v028	v029	v066	v067	v068	v069	v070	v071	v072	v080	v081	v112	v113	v114	v115	v116	v117	v118	v119	v120	v121	v122	v123	v135	v136	v137	v138	v139	v140	v141	v142	v143	v144	v145	v146	v147	v148	v149	v150	v151	v152	v153	v154	v155	v156	v157	v158	v159	v160	v161	v162	v164	v165	v166	v167	v168	v169	v170	v171	v172	v173	v174	v175	v176	v177	v178	v179	v180	v181	v182	v183	v184	v185	v186	v187	v188	v191	v192	v193	v194	v195	v196	v197	v198	v199	v200	v201	v202	v203	v204	v214	v215	years.judge	X0.15	X16.64	X65.y.mas	perc.0.15	perc.16.64	perc.65.	reemplazo	dependencia
1510	II036	1	Ribeira	Ribeira 2	Coruña	3	56531	187.92	300.82	3	12	15	0.16	1.66	3.64	0	45	36	1	2	10	2	6	2	2	2	1	1	1	1	2	1	4	4	5	5	6	1	4	1	1	1	10	10	1	4	1	6	6	1	5	6	5	1	5	4	1	5	5	4	5	5	1	1	1	7	4	7	4	5	2	2	2	7	7	7	7	7	7	7	7	7	7	1	2	1	1	2	1	1	2	1	1	1	1	1	1	1	2	2	2	1	1971	2	2	0	12	3	10	7	13	5	1	6	8394	37491	10646	14.85	66.32	18.83	0.788	0.508
1510	II037	1	Ribeira	Ribeira 3	Coruña	3	56531	187.92	300.82	3	12	15	0.16	1.66	3.64	0	12	34	1	2	10	2	6	2	2	1	1	1	1	1	4	1	5	4	5	4	3	1	4	1	2	6	11	6	1	2	1	5	4	5	5	6	3	1	3	1	1	3	2	2	6	4	1	1	1	1	5	7	1	5	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	1	2	4	1975	2	2	0	14	5	12	11	12	3	1	8	8394	37491	10646	14.85	66.32	18.83	0.788	0.508
2707	II038	1	Sarria	Sarria	Lugo	1	23739	785.06	30.24	6	12	27	-0.78	-3.44	-6.94	1	43	35	1	2	10	2	6	2	1	2	1	1	1	1	2	1	4	4	5	5	4	1	2	1	3	2	3	1	1	1	1	5	6	5	6	5	1	1	3	1	1	5	4	1	1	1	1	1	1	7	5	7	1	7	1	2	2	7	7	7	7	7	7	7	7	7	7	2	2	2	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	2	1970	2	1	0	14	5	12	11	2	4	0	7	2099	14368	7272	8.84	60.52	30.63	0.289	0.652
3606	II039	1	Tui	Tui	Pontevedra	3	51116	322.86	158.32	5	12	36	0.11	4.48	11.25	0	45	40	2	2	10	2	6	2	2	1	1	1	1	1	1	2	5	4	5	5	4	1	1	1	1	1	1	11	1	5	1	1	5	1	4	6	1	1	4	5	1	5	5	4	1	1	1	1	1	7	5	1	2	7	1	2	2	7	7	7	7	7	7	7	7	7	7	2	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	2	3	3	1965	2	1	1	12	4	6	11	4	3	1	2	7279	34008	9829	14.24	66.53	19.23	0.741	0.503
2704	II040	1	Vilalba	Vilalba 1	Lugo	2	32359	1275.01	25.38	6	12	27	-1.11	-3.95	-8.55	0	45	34	1	2	10	2	6	2	2	2	1	1	1	1	2	2	5	4	5	5	4	1	4	1	1	2	5	7	1	1	1	1	5	1	5	6	1	1	5	1	1	6	1	1	1	1	1	1	1	7	1	7	1	7	2	3	2	7	7	7	7	7	7	7	7	7	7	1	1	1	2	1	1	2	2	1	1	1	1	1	1	1	1	3	2	4	1967	2	1	0	12	4	1	11	2	5	1	8	2756	19541	10062	8.52	60.39	31.09	0.274	0.656
2704	II041	0	Vilalba	Vilalba 2	Lugo	2	32359	1275.01	25.38	6	12	27	-1.11	-3.95	-8.55	0	37	36	2	1	1	1	5	2	1	2	1	1	1	1	1	1	5	4	5	4	4	1	4	1	1	2	2	11	1	1	1	6	6	1	5	5	1	1	1	5	1	1	1	5	1	1	1	1	1	7	7	7	7	1	2	1	2	7	7	7	7	7	7	7	7	7	7	3	1	2	1	1	2	1	2	1	1	1	1	1	1	1	1	4	2	4	1961	1	2	0	4	4	5	11	13	5	1	6	2756	19541	10062	8.52	60.39	31.09	0.274	0.656
2706	II042	1	Viveiro	Viveiro 1	Lugo	2	46781	602.42	77.66	7	12	27	-0.42	1.84	2.18	0	37	36	1	2	10	1	4	2	2	2	1	1	1	1	2	2	5	5	5	5	5	1	4	2	7	2	10	10	1	6	1	5	6	1	5	6	1	1	5	1	1	1	6	1	6	5	1	1	1	7	5	1	1	7	2	4	2	7	7	7	7	7	7	7	7	7	7	1	2	2	1	1	1	2	2	1	1	1	1	1	1	1	1	3	2	4	1972	2	2	0	4	4	5	11	12	4	1	6	5333	31104	10344	11.4	66.49	22.11	0.516	0.504
905	II043	1	Lerma	Lerma	Burgos	1	10451	1357.22	7.7	44	7	9	-1.02	-4.9	-8.8	1	53	35	1	2	12	2	6	2	1	2	1	1	1	1	3	1	5	5	5	5	3	1	4	1	2	2	2	7	1	4	1	6	6	1	6	6	5	1	5	1	1	5	5	6	1	5	1	1	1	7	7	3	1	3	2	1	2	7	7	7	7	7	7	7	7	7	7	1	1	2	1	1	2	1	1	1	2	1	1	1	1	1	1	3	2	2	1969	2	1	0	14	5	10	11	3	5	0	9	940	6244	3267	8.99	59.75	31.26	0.288	0.674
902	II044	1	Aranda de Duero	Aranda de Duero 2	Burgos	2	51735	1967.64	26.29	64	7	9	0.15	2.98	5.65	0	53	40	1	2	10	1	1	2	2	1	1	1	1	1	3	1	5	7	3	5	5	1	4	1	3	2	3	3	1	3	1	4	6	1	4	6	1	1	4	1	1	2	1	1	1	1	1	1	1	7	7	7	7	2	2	1	1	7	7	2	7	7	7	7	7	7	7	1	1	2	1	2	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1975	2	2	0	9	4	7	11	3	5	1	3	6738	33408	11589	13.02	64.58	22.4	0.581	0.549
2403	II045	1	Bañeza, La	La Bañeza	León	2	34803	1442.97	24.12	33	7	24	-1.36	-5.23	-10.68	0	53	37	1	2	12	2	6	2	1	2	1	1	1	1	3	1	5	4	5	5	4	1	4	2	7	7	5	1	1	1	5	1	4	1	4	6	1	1	5	1	1	5	5	1	1	1	1	1	1	1	3	3	3	3	2	2	2	7	7	7	7	7	7	7	7	7	7	1	2	1	1	1	2	1	2	1	1	1	1	1	1	1	1	3	2	2	1968	1	1	1	9	4	10	11	10	5	1	7	3128	20244	11431	8.99	58.17	32.84	0.274	0.719
